league,format,game_in_format,red_team_outcome,blue_team_outcome,season_format,riot_match_id,min_start_time,month,day,year,red_team_id,blue_team_id,winner_id,loser_id
0,2,1,0,1,0,111561337007371296,2024-04-14 06:00:00+00:00,4,14,2024,2144,2145,2145,2144
0,2,2,0,1,0,111561337007371297,2024-04-14 06:43:17+00:00,4,14,2024,2145,2144,2144,2145
0,2,3,1,0,0,111561337007371298,2024-04-14 07:15:17+00:00,4,14,2024,2144,2145,2144,2145
0,2,4,0,1,0,111561337007371299,2024-04-14 07:53:09+00:00,4,14,2024,2144,2145,2145,2144
0,2,5,1,0,0,111561337007371300,2024-04-14 08:23:02+00:00,4,14,2024,2145,2144,2145,2144
0,2,1,0,1,0,111561337007371290,2024-04-13 06:00:00+00:00,4,13,2024,2144,2122,2122,2144
0,2,2,0,1,0,111561337007371291,2024-04-13 06:40:00+00:00,4,13,2024,2122,2144,2144,2122
0,2,3,0,1,0,111561337007371292,2024-04-13 07:15:17+00:00,4,13,2024,2122,2144,2144,2122
0,2,4,1,0,0,111561337007371293,2024-04-13 07:50:26+00:00,4,13,2024,2144,2122,2144,2122
0,2,1,0,1,0,111561337007371284,2024-04-07 06:00:00+00:00,4,7,2024,2118,2144,2144,2118
0,2,2,1,0,0,111561337007371285,2024-04-07 06:32:45+00:00,4,7,2024,2144,2118,2144,2118
0,2,3,1,0,0,111561337007371286,2024-04-07 07:06:01+00:00,4,7,2024,2144,2118,2144,2118
0,2,1,1,0,0,111561337007371278,2024-04-06 06:00:00+00:00,4,6,2024,2122,2145,2122,2145
0,2,2,0,1,0,111561337007371279,2024-04-06 06:35:15+00:00,4,6,2024,2122,2145,2145,2122
0,2,3,1,0,0,111561337007371280,2024-04-06 07:16:02+00:00,4,6,2024,2145,2122,2145,2122
0,2,4,1,0,0,111561337007371281,2024-04-06 07:58:49+00:00,4,6,2024,2145,2122,2145,2122
0,2,1,1,0,0,111561337007371272,2024-04-04 08:00:00+00:00,4,4,2024,2122,2144,2122,2144
0,2,2,1,0,0,111561337007371273,2024-04-04 08:35:35+00:00,4,4,2024,2122,2144,2122,2144
0,2,3,1,0,0,111561337007371274,2024-04-04 09:15:15+00:00,4,4,2024,2122,2144,2122,2144
0,2,1,0,1,0,111561337007371266,2024-04-03 08:00:00+00:00,4,3,2024,2118,2145,2145,2118
0,2,2,0,1,0,111561337007371267,2024-04-03 08:31:58+00:00,4,3,2024,2145,2118,2118,2145
0,2,3,0,1,0,111561337007371268,2024-04-03 09:07:19+00:00,4,3,2024,2118,2145,2145,2118
0,2,4,0,1,0,111561337007371269,2024-04-03 09:38:58+00:00,4,3,2024,2145,2118,2118,2145
0,2,5,0,1,0,111561337007371270,2024-04-03 10:17:01+00:00,4,3,2024,2118,2145,2145,2118
0,2,1,1,0,0,111561337007371260,2024-03-31 06:00:00+00:00,3,31,2024,2118,2123,2118,2123
0,2,2,0,1,0,111561337007371261,2024-03-31 06:38:22+00:00,3,31,2024,2118,2123,2123,2118
0,2,3,0,1,0,111561337007371262,2024-03-31 07:20:11+00:00,3,31,2024,2118,2123,2123,2118
0,2,4,0,1,0,111561337007371263,2024-03-31 07:59:41+00:00,3,31,2024,2123,2118,2118,2123
0,2,5,1,0,0,111561337007371264,2024-03-31 08:23:42+00:00,3,31,2024,2118,2123,2118,2123
