startTime,blockName,league,match_id,type,team_1_name,team_1_code,team_1_result,team_2_name,team_2_code,team_2_result,format,games
2024-03-09T16:00:00Z,Week 1,LEC,111997906552170246,normal,Team Vitality,VIT,1,Team Heretics,TH,0,bestOf_1,"[['111997906552170247', [{'parameter': 'JlLMX81CDNM'}, {'parameter': 'bHLFKdLCWYA'}]]]"
2024-03-09T17:00:00Z,Week 1,LEC,111997906552104652,normal,Fnatic,FNC,1,Rogue,RGE,0,bestOf_1,"[['111997906552104653', [{'parameter': 'u7u4P31NkHE'}, {'parameter': 'k790cCWI-jU'}]]]"
2024-03-09T18:00:00Z,Week 1,LEC,111997906552104656,normal,Team BDS,BDS,0,G2 Esports,G2,1,bestOf_1,"[['111997906552104657', [{'parameter': 'vA1IMdEsSCc'}, {'parameter': '-n_AWHR96_U'}]]]"
2024-03-09T19:00:00Z,Week 1,LEC,111997906552104672,normal,Karmine Corp,KC,1,GIANTX,GX,0,bestOf_1,"[['111997906552104673', [{'parameter': '6P57zZjg1Dg'}, {'parameter': 'fxigfNDnivk'}]]]"
2024-03-09T20:00:00Z,Week 1,LEC,111997906552170250,normal,MAD Lions KOI,MDK,1,SK Gaming,SK,0,bestOf_1,"[['111997906552170251', [{'parameter': 'qDNqLbi5qvw'}, {'parameter': 'WfJc26uY3ss'}]]]"
2024-03-10T16:00:00Z,Week 1,LEC,111997906552170228,normal,Team Vitality,VIT,1,Team BDS,BDS,0,bestOf_1,"[['111997906552170229', [{'parameter': 'En21qGcsjlk'}, {'parameter': 'zEeS0KhvPQU'}]]]"
2024-03-10T17:00:00Z,Week 1,LEC,111997906552104644,normal,Team Heretics,TH,1,Rogue,RGE,0,bestOf_1,"[['111997906552104645', [{'parameter': '6n8spYy2E24'}, {'parameter': 'eDEzSzDSCmg'}]]]"
2024-03-10T18:00:00Z,Week 1,LEC,111997906552170218,normal,Fnatic,FNC,1,Karmine Corp,KC,0,bestOf_1,"[['111997906552170219', [{'parameter': '4vAAN7u455A'}, {'parameter': 'aYvjhrVaQsk'}]]]"
2024-03-10T19:00:00Z,Week 1,LEC,111997906552170236,normal,GIANTX,GX,0,SK Gaming,SK,1,bestOf_1,"[['111997906552170237', [{'parameter': 'uVOuWzl5pE0'}, {'parameter': 'x27llL7fkno'}]]]"
2024-03-10T20:00:00Z,Week 1,LEC,111997906552104662,normal,MAD Lions KOI,MDK,0,G2 Esports,G2,1,bestOf_1,"[['111997906552104663', [{'parameter': '-Eo7gtqhzXY'}, {'parameter': '8xEx-EfuvSg'}]]]"
