index,gol_game_num,league,season,year,date,week,patch,format,game_in_format,game_length(min),game_length(s),red_team,blue_team,red_team_outcome,blue_team_outcome,winner,season_format,loser,riot_match_id,min_start_time
375,57849,LCK,SPRING,2024,2024-04-14,FINALS,14.6,BO5,1,43:17,2597,T1,Gen.G eSports,LOSS,WIN,Gen.G eSports,PLAYOFFS,T1,111561337007371296,2024-04-14 06:00:00+00:00
376,57850,LCK,SPRING,2024,2024-04-14,FINALS,14.6,BO5,2,32:00,1920,Gen.G eSports,T1,LOSS,WIN,T1,PLAYOFFS,Gen.G eSports,111561337007371297,2024-04-14 06:43:17+00:00
377,57851,LCK,SPRING,2024,2024-04-14,FINALS,14.6,BO5,3,37:52,2272,T1,Gen.G eSports,WIN,LOSS,T1,PLAYOFFS,Gen.G eSports,111561337007371298,2024-04-14 07:15:17+00:00
378,57852,LCK,SPRING,2024,2024-04-14,FINALS,14.6,BO5,4,29:53,1793,T1,Gen.G eSports,LOSS,WIN,Gen.G eSports,PLAYOFFS,T1,111561337007371299,2024-04-14 07:53:09+00:00
379,57853,LCK,SPRING,2024,2024-04-14,FINALS,14.6,BO5,5,42:04,2524,Gen.G eSports,T1,WIN,LOSS,Gen.G eSports,PLAYOFFS,T1,111561337007371300,2024-04-14 08:23:02+00:00
380,57794,LCK,SPRING,2024,2024-04-13,ROUND3,14.6,BO5,1,40:00,2400,T1,Hanwha Life eSports,LOSS,WIN,Hanwha Life eSports,PLAYOFFS,T1,111561337007371290,2024-04-13 06:00:00+00:00
381,57795,LCK,SPRING,2024,2024-04-13,ROUND3,14.6,BO5,2,35:17,2117,Hanwha Life eSports,T1,LOSS,WIN,T1,PLAYOFFS,Hanwha Life eSports,111561337007371291,2024-04-13 06:40:00+00:00
382,57796,LCK,SPRING,2024,2024-04-13,ROUND3,14.6,BO5,3,35:09,2109,Hanwha Life eSports,T1,LOSS,WIN,T1,PLAYOFFS,Hanwha Life eSports,111561337007371292,2024-04-13 07:15:17+00:00
383,57797,LCK,SPRING,2024,2024-04-13,ROUND3,14.6,BO5,4,39:58,2398,T1,Hanwha Life eSports,WIN,LOSS,T1,PLAYOFFS,Hanwha Life eSports,111561337007371293,2024-04-13 07:50:26+00:00
384,57718,LCK,SPRING,2024,2024-04-07,ROUND2,14.6,BO5,1,32:45,1965,Dplus KIA,T1,LOSS,WIN,T1,PLAYOFFS,Dplus KIA,111561337007371284,2024-04-07 06:00:00+00:00
385,57719,LCK,SPRING,2024,2024-04-07,ROUND2,14.6,BO5,2,33:16,1996,T1,Dplus KIA,WIN,LOSS,T1,PLAYOFFS,Dplus KIA,111561337007371285,2024-04-07 06:32:45+00:00
386,57720,LCK,SPRING,2024,2024-04-07,ROUND2,14.6,BO5,3,36:05,2165,T1,Dplus KIA,WIN,LOSS,T1,PLAYOFFS,Dplus KIA,111561337007371286,2024-04-07 07:06:01+00:00
387,57723,LCK,SPRING,2024,2024-04-06,ROUND3,14.6,BO5,1,35:15,2115,Hanwha Life eSports,Gen.G eSports,WIN,LOSS,Hanwha Life eSports,PLAYOFFS,Gen.G eSports,111561337007371278,2024-04-06 06:00:00+00:00
388,57724,LCK,SPRING,2024,2024-04-06,ROUND3,14.6,BO5,2,40:47,2447,Hanwha Life eSports,Gen.G eSports,LOSS,WIN,Gen.G eSports,PLAYOFFS,Hanwha Life eSports,111561337007371279,2024-04-06 06:35:15+00:00
389,57725,LCK,SPRING,2024,2024-04-06,ROUND3,14.6,BO5,3,42:47,2567,Gen.G eSports,Hanwha Life eSports,WIN,LOSS,Gen.G eSports,PLAYOFFS,Hanwha Life eSports,111561337007371280,2024-04-06 07:16:02+00:00
390,57726,LCK,SPRING,2024,2024-04-06,ROUND3,14.6,BO5,4,32:41,1961,Gen.G eSports,Hanwha Life eSports,WIN,LOSS,Gen.G eSports,PLAYOFFS,Hanwha Life eSports,111561337007371281,2024-04-06 07:58:49+00:00
391,57608,LCK,SPRING,2024,2024-04-04,ROUND2,14.6,BO5,1,35:35,2135,Hanwha Life eSports,T1,WIN,LOSS,Hanwha Life eSports,PLAYOFFS,T1,111561337007371272,2024-04-04 08:00:00+00:00
392,57609,LCK,SPRING,2024,2024-04-04,ROUND2,14.6,BO5,2,39:40,2380,Hanwha Life eSports,T1,WIN,LOSS,Hanwha Life eSports,PLAYOFFS,T1,111561337007371273,2024-04-04 08:35:35+00:00
393,57610,LCK,SPRING,2024,2024-04-04,ROUND2,14.6,BO5,3,31:08,1868,Hanwha Life eSports,T1,WIN,LOSS,Hanwha Life eSports,PLAYOFFS,T1,111561337007371274,2024-04-04 09:15:15+00:00
394,57603,LCK,SPRING,2024,2024-04-03,ROUND2,14.6,BO5,1,31:58,1918,Dplus KIA,Gen.G eSports,LOSS,WIN,Gen.G eSports,PLAYOFFS,Dplus KIA,111561337007371266,2024-04-03 08:00:00+00:00
395,57604,LCK,SPRING,2024,2024-04-03,ROUND2,14.6,BO5,2,35:21,2121,Gen.G eSports,Dplus KIA,LOSS,WIN,Dplus KIA,PLAYOFFS,Gen.G eSports,111561337007371267,2024-04-03 08:31:58+00:00
396,57605,LCK,SPRING,2024,2024-04-03,ROUND2,14.6,BO5,3,31:39,1899,Dplus KIA,Gen.G eSports,LOSS,WIN,Gen.G eSports,PLAYOFFS,Dplus KIA,111561337007371268,2024-04-03 09:07:19+00:00
397,57606,LCK,SPRING,2024,2024-04-03,ROUND2,14.6,BO5,4,38:03,2283,Gen.G eSports,Dplus KIA,LOSS,WIN,Dplus KIA,PLAYOFFS,Gen.G eSports,111561337007371269,2024-04-03 09:38:58+00:00
