league,id,slug,startDate,endDate,year,season
lec,112352881163915249,lec_summer_2024,2024-06-08,2024-07-28,2024,summer
lec,111997906550466231,lec_spring_2024,2024-03-08,2024-04-15,2024,spring
lec,111560983131400452,lec_winter_2024,2024-01-12,2024-02-19,2024,winter
lec,110848560874526298,lec_season_finals_2023,2023-08-17,2023-09-12,2023,season
lec,110429332688604205,lec_summer_2023,2023-06-15,2023-08-01,2023,summer
lec,109919226376366902,lec_spring_2023,2023-03-08,2023-04-27,2023,spring
lec,109466537705744120,lec_winter_2023,2023-01-19,2023-02-28,2023,winter
lec,108176672283976661,lec_summer_2022,2022-06-16,2022-09-12,2022,summer
lec,107417059262120466,lec_spring_2022,2022-01-01,2022-05-01,2022,spring
lec,106269680921022418,lec_summer_2021,2021-06-11,2021-08-30,2021,summer
lec,105522958532258735,lec_spring_2021,2021-01-04,2021-04-11,2021,spring
lec,104169295253189561,lec_summer_2020,2020-06-11,2020-09-07,2020,summer
lec,103462459318635408,lec_spring_2020,2020-01-24,2020-04-27,2020,spring
lec,109427822736905228,lec_summer_2019,2019-06-07,2019-09-08,2019,summer
lec,109427411147317375,lec_spring_2019,2019-01-18,2019-04-14,2019,spring
eu,109423067696022268,eu_lcs_summer_2018,2018-06-15,2018-09-09,2018,lcs
eu,109421587469439501,eu_lcs_spring_2018,2018-01-19,2018-04-08,2018,lcs
eu,109407348769591764,eu_lcs_summer_2017,2017-06-01,2017-09-03,2017,lcs
eu,109188748532737193,eu_lcs_spring_2017,2017-01-19,2017-04-23,2017,lcs
eu,109189749746037163,eu_lcs_summer_2016,2016-06-02,2016-08-28,2016,lcs
eu,109188863217118371,eu_lcs_spring_2016,2016-01-14,2016-04-17,2016,lcs
eu,109218068328726599,eu_lcs_summer_2015,2015-05-28,2015-08-23,2015,lcs
eu,109212709764395955,eu_lcs_spring_2015,2015-01-22,2015-04-19,2015,lcs
eu,109229629611154474,eu_lcs_summer_2014,2014-05-20,2014-08-17,2014,lcs
eu,109218949924663566,eu_lcs_spring_2014,2014-01-14,2014-04-17,2014,lcs
eu,109349946712116171,eu_lcs_summer_2013,2013-06-14,2022-08-26,2013,lcs
eu,109274702204084948,eu_lcs_spring_2013,2013-02-08,2013-04-29,2013,lcs
lcs,111504625283627681,lcs_spring_2024,2024-01-19,2024-04-01,2024,spring
